schedule_date,schedule_date,schedule_season,schedule_week,team_home,team_away,stadium_surface,stadium_type,stadium_capacity,spread_favorite
2008-11-02,2008-11-02,2008,9,CLE,BAL,Grass,outdoor,"68,000",-2.5
2008-11-02,2008-11-02,2008,9,DEN,MIA,Grass,outdoor,"76,125",-4.0
2008-11-02,2008-11-02,2008,9,IND,NE,FieldTurf,indoor,"63,000",-6.5
2008-11-02,2008-11-02,2008,9,KC,TB,Grass,outdoor,"76,416",9.5
2008-11-02,2008-11-02,2008,9,MIN,HOU,FieldTurf,indoor,64000,-5.5
2008-11-02,2008-11-02,2008,9,NYG,DAL,Grass,outdoor,82500,-8.5
2008-11-02,2008-11-02,2008,9,LVR,ATL,Grass,outdoor,"53,250",3.0
2008-11-02,2008-11-02,2008,9,SEA,PHI,FieldTurf,outdoor,"67,000",6.5
2008-11-02,2008-11-02,2008,9,LAR,ARI,FieldTurf,indoor,67000,3.0
2008-11-02,2008-11-02,2008,9,TEN,GB,Grass,outdoor,"69,143",-3.5
2008-11-03,2008-11-03,2008,9,WAS,PIT,Grass,outdoor,"79,000",-2.5
2008-11-06,2008-11-06,2008,10,CLE,DEN,Grass,outdoor,"68,000",-3.0
2008-11-09,2008-11-09,2008,10,ATL,NO,FieldTurf,indoor,"71,250",-1.5
2008-11-09,2008-11-09,2008,10,CHI,TEN,Grass,outdoor,"61,500",3.0
2008-11-09,2008-11-09,2008,10,DET,JAX,FieldTurf,indoor,"65,000",5.0
2008-11-09,2008-11-09,2008,10,HOU,BAL,Grass,indoor,"71,500",-2.5
2008-11-09,2008-11-09,2008,10,MIA,SEA,Grass,outdoor,65000,-7.5
2008-11-09,2008-11-09,2008,10,MIN,GB,FieldTurf,indoor,64000,-2.5
2008-11-09,2008-11-09,2008,10,NE,BUF,FieldTurf,outdoor,"68,756",-3.5
2008-11-09,2008-11-09,2008,10,NYJ,LAR,Grass,outdoor,82500,-9.5
2008-11-09,2008-11-09,2008,10,LVR,CAR,Grass,outdoor,"53,250",9.5
2008-11-09,2008-11-09,2008,10,PHI,NYG,Grass,outdoor,"69,176",-1.5
2008-11-09,2008-11-09,2008,10,PIT,IND,Grass,outdoor,"65,500",-3.5
2008-11-09,2008-11-09,2008,10,LAC,KC,Grass,outdoor,"71,500",-14.5
2008-11-10,2008-11-10,2008,10,ARI,SF,Grass,indoor,"63,400",-9.5
2008-11-13,2008-11-13,2008,11,NE,NYJ,FieldTurf,outdoor,"68,756",-3.5
2008-11-16,2008-11-16,2008,11,ATL,DEN,FieldTurf,indoor,"71,250",-6.5
2008-11-16,2008-11-16,2008,11,CAR,DET,Grass,outdoor,"73,778",-14.0
2008-11-16,2008-11-16,2008,11,CIN,PHI,FieldTurf,outdoor,"65,515",9.0
2008-11-16,2008-11-16,2008,11,GB,CHI,Grass,outdoor,"80,735",-3.5
2008-11-16,2008-11-16,2008,11,IND,HOU,FieldTurf,indoor,"63,000",-8.0
2008-11-16,2008-11-16,2008,11,JAX,TEN,Grass,outdoor,"67,264",3.0
2008-11-16,2008-11-16,2008,11,KC,NO,Grass,outdoor,"76,416",6.0
2008-11-16,2008-11-16,2008,11,MIA,LVR,Grass,outdoor,65000,-10.0
2008-11-16,2008-11-16,2008,11,NYG,BAL,Grass,outdoor,82500,-7.0
2008-11-16,2008-11-16,2008,11,PIT,LAC,Grass,outdoor,"65,500",-4.5
2008-11-16,2008-11-16,2008,11,SF,LAR,Grass,outdoor,70000,-7.0
2008-11-16,2008-11-16,2008,11,SEA,ARI,FieldTurf,outdoor,"67,000",3.0
2008-11-16,2008-11-16,2008,11,TB,MIN,Grass,outdoor,"65,890",-5.5
2008-11-16,2008-11-16,2008,11,WAS,DAL,Grass,outdoor,"79,000",2.0
2008-11-17,2008-11-17,2008,11,BUF,CLE,FieldTurf,outdoor,"73,967",-5.0
2008-11-20,2008-11-20,2008,12,PIT,CIN,Grass,outdoor,"65,500",-11.5
2008-11-23,2008-11-23,2008,12,ARI,NYG,Grass,indoor,"63,400",3.0
2008-11-23,2008-11-23,2008,12,ATL,CAR,FieldTurf,indoor,"71,250",-1.0
2008-11-23,2008-11-23,2008,12,BAL,PHI,FieldTurf,outdoor,"71,008",-2.0
2008-11-23,2008-11-23,2008,12,CLE,HOU,Grass,outdoor,"68,000",-3.0
2008-11-23,2008-11-23,2008,12,DAL,SF,FieldTurf,outdoor,66000,-9.5
2008-11-23,2008-11-23,2008,12,DEN,LVR,Grass,outdoor,"76,125",-9.0
2008-11-23,2008-11-23,2008,12,DET,TB,FieldTurf,indoor,"65,000",8.0
2008-11-23,2008-11-23,2008,12,JAX,MIN,Grass,outdoor,"67,264",-2.5
2008-11-23,2008-11-23,2008,12,KC,BUF,Grass,outdoor,"76,416",3.0
2008-11-23,2008-11-23,2008,12,MIA,NE,Grass,outdoor,65000,2.0
2008-11-23,2008-11-23,2008,12,LAC,IND,Grass,outdoor,"71,500",-3.0
2008-11-23,2008-11-23,2008,12,SEA,WAS,FieldTurf,outdoor,"67,000",3.0
2008-11-23,2008-11-23,2008,12,LAR,CHI,FieldTurf,indoor,67000,7.0
2008-11-23,2008-11-23,2008,12,TEN,NYJ,Grass,outdoor,"69,143",-5.5
2008-11-24,2008-11-24,2008,12,NO,GB,FieldTurf,indoor,"76,468",-1.0
2008-11-27,2008-11-27,2008,13,DAL,SEA,FieldTurf,outdoor,66000,-12.0
2008-11-27,2008-11-27,2008,13,DET,TEN,FieldTurf,indoor,"65,000",11.0
2008-11-27,2008-11-27,2008,13,PHI,ARI,Grass,outdoor,"69,176",-3.0
2008-11-30,2008-11-30,2008,13,BUF,SF,FieldTurf,outdoor,"73,967",-6.5
2008-11-30,2008-11-30,2008,13,CIN,BAL,FieldTurf,outdoor,"65,515",7.0
2008-11-30,2008-11-30,2008,13,CLE,IND,Grass,outdoor,"68,000",4.0
2008-11-30,2008-11-30,2008,13,GB,CAR,Grass,outdoor,"80,735",-3.0
2008-11-30,2008-11-30,2008,13,MIN,CHI,FieldTurf,indoor,64000,-5.0
2008-11-30,2008-11-30,2008,13,NE,PIT,FieldTurf,outdoor,"68,756",-2.5
2008-11-30,2008-11-30,2008,13,NYJ,DEN,Grass,outdoor,82500,-8.0
2008-11-30,2008-11-30,2008,13,LVR,KC,Grass,outdoor,"53,250",-3.5
2008-11-30,2008-11-30,2008,13,LAC,ATL,Grass,outdoor,"71,500",-6.5
2008-11-30,2008-11-30,2008,13,LAR,MIA,FieldTurf,indoor,67000,7.0
2008-11-30,2008-11-30,2008,13,TB,NO,Grass,outdoor,"65,890",-3.5
2008-11-30,2008-11-30,2008,13,WAS,NYG,Grass,outdoor,"79,000",4.0
2008-12-01,2008-12-01,2008,13,HOU,JAX,Grass,indoor,"71,500",-3.0
2008-12-04,2008-12-04,2008,14,LAC,LVR,Grass,outdoor,"71,500",-9.0
2008-12-07,2008-12-07,2008,14,ARI,LAR,Grass,indoor,"63,400",-14.5
2008-12-07,2008-12-07,2008,14,BAL,WAS,FieldTurf,outdoor,"71,008",-6.5
2008-12-07,2008-12-07,2008,14,CHI,JAX,Grass,outdoor,"61,500",-6.5
2008-12-07,2008-12-07,2008,14,DEN,KC,Grass,outdoor,"76,125",-9.0
2008-12-07,2008-12-07,2008,14,DET,MIN,FieldTurf,indoor,"65,000",10.5
2008-12-07,2008-12-07,2008,14,GB,HOU,Grass,outdoor,"80,735",-7.0
2008-12-07,2008-12-07,2008,14,IND,CIN,FieldTurf,indoor,"63,000",-13.5
2008-12-07,2008-12-07,2008,14,NO,ATL,FieldTurf,indoor,"76,468",-3.0
2008-12-07,2008-12-07,2008,14,NYG,PHI,Grass,outdoor,82500,-7.0
2008-12-07,2008-12-07,2008,14,PIT,DAL,Grass,outdoor,"65,500",-4.0
2008-12-07,2008-12-07,2008,14,SF,NYJ,Grass,outdoor,70000,5.0
2008-12-07,2008-12-07,2008,14,SEA,NE,FieldTurf,outdoor,"67,000",7.5
2008-12-07,2008-12-07,2008,14,TEN,CLE,Grass,outdoor,"69,143",-13.5
2008-12-08,2008-12-08,2008,14,CAR,TB,Grass,outdoor,"73,778",-3.0
2008-12-11,2008-12-11,2008,15,CHI,NO,Grass,outdoor,"61,500",-3.0
2008-12-14,2008-12-14,2008,15,ARI,MIN,Grass,indoor,"63,400",-3.5
2008-12-14,2008-12-14,2008,15,ATL,TB,FieldTurf,indoor,"71,250",-4.5
2008-12-14,2008-12-14,2008,15,BAL,PIT,FieldTurf,outdoor,"71,008",-3.0
2008-12-14,2008-12-14,2008,15,CAR,DEN,Grass,outdoor,"73,778",-7.5
2008-12-14,2008-12-14,2008,15,CIN,WAS,FieldTurf,outdoor,"65,515",6.5
2008-12-14,2008-12-14,2008,15,DAL,NYG,FieldTurf,outdoor,66000,-3.0
